post_text,sentiment_label,predicted_label,topic_category,manual_audit_correct_label,notes
OK this is my pure speculation.  @user owns the cloud compute tech.  @user is utilizing the tech.  3rd party devs is open to use.,Neutral,Positive,Community_Discussion,label_right,
Don\u2019t flirt with disaster! Get you tickets quick for MOLLY HATCHET at UNDERWORLD - 1 Dec,Neutral,Negative,Feature_Feedback,label_right,
Everybody is finally starting to watch naruto where the fuck you guys been. I have been watching it every Thursday since 9th grade. #rookies,Neutral,Negative,Community_Discussion,ambiguous,
#Trayvon My daily tweet (9-09) in memory of Trayvon Martin- killed 197 days ago. ~May you Rest in Peace~ (Praying and hoping for the family),Neutral,Negative,Community_Discussion,ambiguous,
Laker fans should take it as a sign that they got beat by the Sacramento Kings twice in the preaseason...and their starters played the 4th,Negative,Neutral,Community_Discussion,label_right,
Iran: Mass execution of 8 prisoners in just 3 days #health #politics #sun,Negative,Neutral,Community_Discussion,label_right,
@user Bernie's there like crossing his fingers that Saudi Arabia is going to wake up tomorrow and decide to take out ISIS,Neutral,Negative,Community_Discussion,ambiguous,
The reason TFI isn't as good now is cos the 1st time around Chris Evans was on the verge of a breakdown and it was incredible watching him,Positive,Negative,Technical_Issues,model_right,
"""No amount of effort can save you from oblivion."" --Kurt Cobain #MONTAGEOFHECK // AUG 7 //",Neutral,Negative,Community_Discussion,model_right,
Tonight Dr. Terrie Hale Scheckelhoff will be formally installed as the 11th Head of School. Welcome to the Saints family @user,Positive,Negative,Community_Discussion,ambiguous,
i wanna party with justin and get really drunk then fuck like theres no tomorrow,Positive,Negative,Community_Discussion,label_right,
I mean I'm ok with watching randy Orton and Shia labeouf for 2nd period,Positive,Neutral,Community_Discussion,ambiguous,
"@user Jeb Bush's 1st name is not ""Jeb."" It is John. Let's be accurate with news reporting.",Neutral,Negative,Community_Discussion,label_right,
"@user noooo not yet. We had a birthday date night last night. Plus I watch it on hulu, which means no Hannibal until Sunday :/",Negative,Positive,Community_Discussion,ambiguous,
Transgender is a difficult subject but it has been timed well with the Caitlyn Jenner thing so that may give it some appeal.,Positive,Negative,Technical_Issues,ambiguous,
You may think I have mono-cellular Zulu imbongis at the rate some of these folks are thrown profanity at me.,Negative,Neutral,Community_Discussion,label_right,
Watching Crossfire Hurricane for the 5th time @user,Neutral,Positive,Community_Discussion,ambiguous,
omg the music video comes out tomorrow! Btw I still can\u2019t get over Harry\u2019s voice :\u2019),Negative,Positive,Community_Discussion,model_right,
@user it comes out NOV 13 if it does come out.  Nintendo is notorious for rumors trust me ha,Neutral,Positive,Community_Discussion,label_right,
